"set","instance","variation","incompatibilities","replication","makespan","time"
"carlier",3,"I",1,10,19554,0
"carlier",3,"I",1,11,19498,33223
"carlier",3,"I",1,12,19498,16030
"carlier",3,"I",1,13,19554,20
"carlier",3,"I",1,14,19498,16561
"carlier",3,"I",1,15,19498,32830
"carlier",3,"I",1,16,19498,21818
"carlier",3,"I",1,17,19498,35989
"carlier",3,"I",1,18,19498,6199
"carlier",3,"I",1,19,19554,5
"carlier",3,"I",1,20,19498,39546
"carlier",3,"I",1,21,19498,5204
"carlier",3,"I",1,22,19498,4328
"carlier",3,"I",1,23,19498,13951
"carlier",3,"I",1,24,19498,5997
"carlier",3,"I",1,25,19554,0
"carlier",3,"I",1,26,19498,31353
"carlier",3,"I",1,27,19498,29476
"carlier",3,"I",1,28,19554,2
"carlier",3,"I",1,29,19498,17309
"carlier",3,"I",1,30,19498,15790
"carlier",3,"I",1,31,19498,24867
"carlier",3,"I",1,32,19498,3147
"carlier",3,"I",1,33,19498,30459
"carlier",3,"I",1,34,19498,11049
"carlier",3,"I",1,35,19498,9786
"carlier",3,"I",1,36,19498,3856
"carlier",3,"I",1,37,19554,5
"carlier",3,"I",1,38,19498,13250
"carlier",3,"I",1,39,19498,13145
"carlier",3,"I",1,40,19498,1984
"carlier",3,"I",1,41,19498,16257
"carlier",3,"I",1,42,19498,8295
"carlier",3,"I",1,43,19498,22566
"carlier",3,"I",1,44,19498,57509
"carlier",3,"I",1,45,19498,18616
"carlier",3,"I",1,46,19498,19683
"carlier",3,"I",1,47,19498,16026
"carlier",3,"I",1,48,19498,40274
"carlier",3,"I",1,49,19554,9
"carlier",3,"I",2,0,19498,6218
"carlier",3,"I",2,1,19498,16865
"carlier",3,"I",2,2,19554,1
"carlier",3,"I",2,3,19498,6211
"carlier",3,"I",2,4,19498,29740
"carlier",3,"I",2,5,19498,18585
"carlier",3,"I",2,6,19554,15
"carlier",3,"I",2,7,19498,16639
"carlier",3,"I",2,8,19498,5624
"carlier",3,"I",2,9,19498,30203
"carlier",3,"I",2,10,19554,0
"carlier",3,"I",2,11,19498,25117
"carlier",3,"I",2,12,19498,18679
"carlier",3,"I",2,13,19498,29725
"carlier",3,"I",2,14,19498,11570
"carlier",3,"I",2,15,19498,10186
"carlier",3,"I",2,16,19498,27416
"carlier",3,"I",2,17,19498,9802
"carlier",3,"I",2,18,19498,9990
"carlier",3,"I",2,19,19498,45333
"carlier",3,"I",2,20,19498,40354
"carlier",3,"I",2,21,19498,9944
"carlier",3,"I",2,22,19498,22129
